case,label,n_points,slope,intercept,crossover
Gap_12_9mps,g1200,5898240,-497.0576965,184.7484065,0.3716840275
Gap_8_9mps,g800,5898240,-460.4561975,175.5105902,0.3811667454
Gap_4_9mps,g400,5898240,-446.834691,170.1906156,0.3808804889
Patch_12_9mps,i1200,5898240,-509.833821,192.6054559,0.3777808533
Patch_8_9mps,i800,5898240,-582.9148741,217.3916026,0.3729388497
Patch_4_9mps,i400,5898240,-671.2672959,251.7604231,0.3750524189
ATTO,ATTO,9201611,-670.9126885,253.6989083,0.3781399766
Sinusoidal,Sinusoidal,9201152,-524.8777832,215.5199801,0.4106098352
Flat,Flat,9175040,-300.4169868,120.1517259,0.3999498402
