case,label,n_points,slope,intercept,crossover
Gap_12_9mps,g1200,5898240,-789.3311236,284.3639949,0.360259448
Gap_8_9mps,g800,5898240,-700.4381524,259.3565187,0.3702775438
Gap_4_9mps,g400,5898240,-645.1925314,238.7984073,0.3701196087
Patch_12_9mps,i1200,5898240,-5349.256484,1960.628142,0.3665234876
Patch_8_9mps,i800,5898240,-2578.427682,936.7138689,0.3632887886
Patch_4_9mps,i400,5898240,-1298.309553,475.9970549,0.3666283236
ATTO,ATTO,9201611,-1023.081726,376.5894555,0.3680932286
Sinusoidal,Sinusoidal,9201152,-775.5067817,310.559376,0.40045991
Flat,Flat,9175040,-514.4754732,200.2217971,0.3891765644
