bootstrap,n_points,slope,intercept,crossover,crossover_median,crossover_q25,crossover_q75
74,9238567,-756.7940706,284.3569039,0.3757388105,0.3757767755,0.3757340244,0.3758219809
75,9238512,-758.4644939,285.0123174,0.3757754248,0.3757767755,0.3757340244,0.3758219809
76,9240025,-755.7805592,283.9626576,0.3757210399,0.3757767755,0.3757340244,0.3758219809
77,9240618,-756.4285387,284.2609298,0.3757935023,0.3757767755,0.3757340244,0.3758219809
78,9237202,-754.5787369,283.5999219,0.3758387403,0.3757767755,0.3757340244,0.3758219809
79,9236655,-756.2907238,284.1248157,0.3756820053,0.3757767755,0.3757340244,0.3758219809
80,9237544,-757.8876681,284.7581926,0.3757261195,0.3757767755,0.3757340244,0.3758219809
81,9240725,-757.3086148,284.6245453,0.3758369305,0.3757767755,0.3757340244,0.3758219809
82,9239001,-756.6914093,284.3179004,0.3757382427,0.3757767755,0.3757340244,0.3758219809
83,9235816,-755.3402625,283.7967607,0.3757204201,0.3757767755,0.3757340244,0.3758219809
84,9236541,-757.3530753,284.5678377,0.375739991,0.3757767755,0.3757340244,0.3758219809
85,9238828,-754.2556444,283.4076048,0.3757447583,0.3757767755,0.3757340244,0.3758219809
86,9240297,-755.1415286,283.7767255,0.3757927683,0.3757767755,0.3757340244,0.3758219809
87,9238202,-754.79911,283.7018145,0.3758640024,0.3757767755,0.3757340244,0.3758219809
88,9237422,-757.0521691,284.3553781,0.375608696,0.3757767755,0.3757340244,0.3758219809
89,9237294,-756.3441408,284.1992375,0.3757538694,0.3757767755,0.3757340244,0.3758219809
90,9239339,-755.1595962,283.8022568,0.3758175863,0.3757767755,0.3757340244,0.3758219809
91,9238766,-757.0016085,284.4347119,0.3757385832,0.3757767755,0.3757340244,0.3758219809
92,9242293,-755.7178227,284.026389,0.375836563,0.3757767755,0.3757340244,0.3758219809
93,9237088,-756.355947,284.2583455,0.3758261526,0.3757767755,0.3757340244,0.3758219809
94,9238396,-754.7431355,283.6322862,0.375799756,0.3757767755,0.3757340244,0.3758219809
95,9236898,-755.1131567,283.7898967,0.3758243306,0.3757767755,0.3757340244,0.3758219809
96,9238039,-756.6139556,284.345493,0.3758131752,0.3757767755,0.3757340244,0.3758219809
