bootstrap,n_points,slope,intercept,crossover,crossover_median,crossover_q25,crossover_q75
289,9237742,-755.2465764,283.9002729,0.3759040845,0.3757767755,0.3757340244,0.3758219809
290,9237311,-755.565181,283.9266495,0.3757804841,0.3757767755,0.3757340244,0.3758219809
291,9237803,-756.0808359,284.190097,0.3758726362,0.3757767755,0.3757340244,0.3758219809
292,9240093,-754.1420952,283.3230065,0.375689155,0.3757767755,0.3757340244,0.3758219809
293,9240743,-756.584951,284.3434064,0.3758248244,0.3757767755,0.3757340244,0.3758219809
294,9237859,-756.5794081,284.280914,0.3757449793,0.3757767755,0.3757340244,0.3758219809
295,9240480,-755.3676911,283.8553434,0.3757843323,0.3757767755,0.3757340244,0.3758219809
296,9240666,-759.6294191,285.3666804,0.3756656512,0.3757767755,0.3757340244,0.3758219809
297,9238275,-757.2573787,284.5531331,0.375768056,0.3757767755,0.3757340244,0.3758219809
298,9237000,-757.8928162,284.791791,0.3757678986,0.3757767755,0.3757340244,0.3758219809
299,9240853,-756.8569823,284.44481,0.3758237244,0.3757767755,0.3757340244,0.3758219809
300,9237683,-754.0902565,283.4554966,0.3758906764,0.3757767755,0.3757340244,0.3758219809
301,9238070,-755.9915354,284.0614846,0.3757469116,0.3757767755,0.3757340244,0.3758219809
302,9238741,-755.5623105,283.8873751,0.3757299314,0.3757767755,0.3757340244,0.3758219809
303,9235324,-751.6365724,282.4499965,0.3757800071,0.3757767755,0.3757340244,0.3758219809
304,9242051,-757.128161,284.4910045,0.3757501295,0.3757767755,0.3757340244,0.3758219809
305,9242211,-754.6430697,283.6556984,0.3758806114,0.3757767755,0.3757340244,0.3758219809
306,9239678,-756.4067275,284.2207745,0.3757512515,0.3757767755,0.3757340244,0.3758219809
307,9238640,-755.2230099,283.8494671,0.3758485419,0.3757767755,0.3757340244,0.3758219809
308,9239288,-754.433575,283.5672948,0.375867809,0.3757767755,0.3757340244,0.3758219809
309,9237030,-756.6633941,284.3318028,0.3757705275,0.3757767755,0.3757340244,0.3758219809
310,9240501,-752.59861,282.8809094,0.3758722187,0.3757767755,0.3757340244,0.3758219809
311,9240048,-755.3926458,283.8327498,0.3757420083,0.3757767755,0.3757340244,0.3758219809
312,9237957,-756.105698,284.1049761,0.3757476989,0.3757767755,0.3757340244,0.3758219809
313,9240870,-755.833503,283.9863453,0.3757260616,0.3757767755,0.3757340244,0.3758219809
314,9241047,-754.2675632,283.4794892,0.3758341244,0.3757767755,0.3757340244,0.3758219809
315,9239351,-756.9861072,284.4683716,0.3757907429,0.3757767755,0.3757340244,0.3758219809
316,9239905,-755.536218,283.9544054,0.375831626,0.3757767755,0.3757340244,0.3758219809
317,9236532,-756.7408674,284.2852246,0.3756705061,0.3757767755,0.3757340244,0.3758219809
318,9239031,-754.2736173,283.4705964,0.3758193179,0.3757767755,0.3757340244,0.3758219809
319,9238911,-756.4860474,284.1892124,0.3756701308,0.3757767755,0.3757340244,0.3758219809
320,9238777,-757.3230241,284.6091433,0.3758094422,0.3757767755,0.3757340244,0.3758219809
321,9238475,-756.0968469,284.2340897,0.3759228608,0.3757767755,0.3757340244,0.3758219809
322,9235418,-754.9544691,283.6241143,0.3756837345,0.3757767755,0.3757340244,0.3758219809
323,9242054,-755.5313199,283.9547183,0.3758344767,0.3757767755,0.3757340244,0.3758219809
324,9237780,-754.7773129,283.7251563,0.3759057823,0.3757767755,0.3757340244,0.3758219809
325,9236853,-753.3906766,283.0757408,0.3757356569,0.3757767755,0.3757340244,0.3758219809
326,9240677,-755.7041667,283.954947,0.3757488175,0.3757767755,0.3757340244,0.3758219809
327,9240455,-754.4685741,283.5121694,0.3757773076,0.3757767755,0.3757340244,0.3758219809
328,9236961,-756.8231231,284.4727295,0.3758774286,0.3757767755,0.3757340244,0.3758219809
329,9238897,-755.2610067,283.8596994,0.3758431813,0.3757767755,0.3757340244,0.3758219809
330,9236021,-754.2294058,283.4574214,0.3758238796,0.3757767755,0.3757340244,0.3758219809
331,9238477,-755.8262949,284.0279331,0.3757846677,0.3757767755,0.3757340244,0.3758219809
332,9238179,-755.2018183,283.7460567,0.3757221577,0.3757767755,0.3757340244,0.3758219809
333,9240196,-756.4548593,284.2110667,0.3757145099,0.3757767755,0.3757340244,0.3758219809
334,9242299,-753.5620953,283.1918793,0.3758043047,0.3757767755,0.3757340244,0.3758219809
335,9238688,-756.1599328,284.1300854,0.3757539551,0.3757767755,0.3757340244,0.3758219809
336,9239116,-754.5179458,283.5410414,0.3757909842,0.3757767755,0.3757340244,0.3758219809
337,9238136,-754.7563123,283.694177,0.3758751962,0.3757767755,0.3757340244,0.3758219809
338,9238795,-756.0602164,284.1372719,0.3758130182,0.3757767755,0.3757340244,0.3758219809
339,9239434,-756.7603033,284.3589367,0.3757582625,0.3757767755,0.3757340244,0.3758219809
340,9239801,-755.3002448,283.8424608,0.3758008326,0.3757767755,0.3757340244,0.3758219809
341,9240654,-757.4120747,284.5416326,0.3756761241,0.3757767755,0.3757340244,0.3758219809
342,9241876,-757.1111197,284.4303956,0.3756785341,0.3757767755,0.3757340244,0.3758219809
343,9241811,-754.6988371,283.6206756,0.3758064298,0.3757767755,0.3757340244,0.3758219809
344,9240905,-757.2699797,284.6395088,0.3758758652,0.3757767755,0.3757340244,0.3758219809
345,9238338,-757.5974497,284.6620084,0.3757430921,0.3757767755,0.3757340244,0.3758219809
346,9240634,-754.2087916,283.4794573,0.375863369,0.3757767755,0.3757340244,0.3758219809
347,9240410,-753.9223777,283.3957514,0.3758951317,0.3757767755,0.3757340244,0.3758219809
348,9236396,-757.5230687,284.6770823,0.3757998852,0.3757767755,0.3757340244,0.3758219809
349,9240194,-753.0787852,283.1190663,0.3759488009,0.3757767755,0.3757340244,0.3758219809
350,9239364,-754.066969,283.3211348,0.375724102,0.3757767755,0.3757340244,0.3758219809
351,9240986,-755.8423914,284.1833991,0.3759823507,0.3757767755,0.3757340244,0.3758219809
352,9238484,-754.48956,283.5363652,0.3757989245,0.3757767755,0.3757340244,0.3758219809
353,9236969,-755.2116505,283.7640119,0.3757410412,0.3757767755,0.3757340244,0.3758219809
354,9238473,-758.1417301,284.8429606,0.3757120196,0.3757767755,0.3757340244,0.3758219809
355,9238634,-757.0722696,284.4370067,0.3757065451,0.3757767755,0.3757340244,0.3758219809
356,9239658,-755.1985751,283.8236448,0.3758265099,0.3757767755,0.3757340244,0.3758219809
357,9240009,-753.7002125,283.2323724,0.3757891636,0.3757767755,0.3757340244,0.3758219809
358,9239080,-758.6831384,285.0564527,0.3757253038,0.3757767755,0.3757340244,0.3758219809
359,9239645,-754.6397219,283.5559095,0.3757500451,0.3757767755,0.3757340244,0.3758219809
360,9240511,-756.9872941,284.4648714,0.3757855299,0.3757767755,0.3757340244,0.3758219809
361,9240142,-754.7583215,283.5691724,0.3757085737,0.3757767755,0.3757340244,0.3758219809
362,9238885,-754.9618033,283.6270289,0.3756839454,0.3757767755,0.3757340244,0.3758219809
363,9238233,-754.901282,283.6677855,0.3757680537,0.3757767755,0.3757340244,0.3758219809
364,9239899,-754.846504,283.6813574,0.3758133023,0.3757767755,0.3757340244,0.3758219809
365,9238565,-757.1335954,284.4406528,0.3756809294,0.3757767755,0.3757340244,0.3758219809
366,9236835,-755.4278879,283.8121709,0.3756972379,0.3757767755,0.3757340244,0.3758219809
367,9236069,-756.094894,284.0368305,0.3756629396,0.3757767755,0.3757340244,0.3758219809
368,9239282,-754.9693573,283.6891089,0.3757624149,0.3757767755,0.3757340244,0.3758219809
369,9236992,-755.5361993,283.8748697,0.3757263648,0.3757767755,0.3757340244,0.3758219809
370,9239627,-756.2887231,284.1788105,0.3757543935,0.3757767755,0.3757340244,0.3758219809
371,9242398,-756.8866581,284.4291675,0.3757883224,0.3757767755,0.3757340244,0.3758219809
372,9239619,-754.3660746,283.5325218,0.3758553458,0.3757767755,0.3757340244,0.3758219809
373,9239296,-757.5248544,284.6880594,0.3758134902,0.3757767755,0.3757340244,0.3758219809
374,9243106,-752.3882056,282.8324529,0.3759129274,0.3757767755,0.3757340244,0.3758219809
375,9237346,-754.9328279,283.6551626,0.3757356311,0.3757767755,0.3757340244,0.3758219809
376,9236506,-751.7110802,282.5617728,0.3758914565,0.3757767755,0.3757340244,0.3758219809
377,9238233,-754.0212086,283.310292,0.3757325241,0.3757767755,0.3757340244,0.3758219809
378,9238398,-756.4596089,284.2369318,0.3757463431,0.3757767755,0.3757340244,0.3758219809
379,9239230,-757.8219191,284.6924018,0.375671902,0.3757767755,0.3757340244,0.3758219809
380,9238228,-755.4385127,283.9854976,0.3759213924,0.3757767755,0.3757340244,0.3758219809
381,9241666,-757.30763,284.6238691,0.3758365265,0.3757767755,0.3757340244,0.3758219809
382,9239276,-753.8727135,283.2883393,0.3757774148,0.3757767755,0.3757340244,0.3758219809
383,9239272,-757.4373102,284.5798371,0.3757140469,0.3757767755,0.3757340244,0.3758219809
384,9240927,-754.8281663,283.6566077,0.3757896438,0.3757767755,0.3757340244,0.3758219809
385,9238603,-755.3773403,283.8193598,0.3757318955,0.3757767755,0.3757340244,0.3758219809
386,9236877,-755.8319353,284.0063569,0.3757533172,0.3757767755,0.3757340244,0.3758219809
387,9241864,-754.5499944,283.5745372,0.3758194146,0.3757767755,0.3757340244,0.3758219809
388,9236101,-756.098573,284.0843685,0.3757239844,0.3757767755,0.3757340244,0.3758219809
389,9237206,-758.7939373,285.1064461,0.3757363259,0.3757767755,0.3757340244,0.3758219809
390,9240041,-756.2304327,284.0970894,0.375675293,0.3757767755,0.3757340244,0.3758219809
391,9242366,-753.3661923,283.1877776,0.3758965832,0.3757767755,0.3757340244,0.3758219809
392,9238565,-755.5562482,283.96686,0.3758381466,0.3757767755,0.3757340244,0.3758219809
393,9240158,-754.0711891,283.3648864,0.3757800199,0.3757767755,0.3757340244,0.3758219809
394,9235014,-754.4065026,283.5321126,0.3758346615,0.3757767755,0.3757340244,0.3758219809
395,9240311,-753.7618558,283.3141932,0.3758669811,0.3757767755,0.3757340244,0.3758219809
396,9240157,-756.7526412,284.370063,0.3757767698,0.3757767755,0.3757340244,0.3758219809
397,9239626,-754.8917857,283.7347777,0.375861525,0.3757767755,0.3757340244,0.3758219809
398,9237158,-756.2544591,284.1471344,0.3757295326,0.3757767755,0.3757340244,0.3758219809
399,9240468,-755.9312539,284.0842973,0.3758070537,0.3757767755,0.3757340244,0.3758219809
400,9240334,-755.0917488,283.7192199,0.3757413855,0.3757767755,0.3757340244,0.3758219809
401,9240874,-754.8279995,283.6048202,0.3757211185,0.3757767755,0.3757340244,0.3758219809
402,9239865,-751.600337,282.5232271,0.3758955567,0.3757767755,0.3757340244,0.3758219809
403,9241013,-755.1786617,283.8132632,0.375822673,0.3757767755,0.3757340244,0.3758219809
404,9238610,-753.9504358,283.3572422,0.3758300662,0.3757767755,0.3757340244,0.3758219809
405,9238889,-754.670781,283.6112112,0.37580786,0.3757767755,0.3757340244,0.3758219809
406,9239429,-756.3213207,284.129554,0.3756730721,0.3757767755,0.3757340244,0.3758219809
407,9238465,-755.8079329,283.9503281,0.3756911191,0.3757767755,0.3757340244,0.3758219809
408,9240479,-753.1864302,283.057223,0.3758129617,0.3757767755,0.3757340244,0.3758219809
409,9240134,-755.4074612,283.8983529,0.3758214838,0.3757767755,0.3757340244,0.3758219809
410,9239706,-756.3949841,284.2203275,0.3757564943,0.3757767755,0.3757340244,0.3758219809
411,9238660,-756.2327626,284.1269496,0.3757136211,0.3757767755,0.3757340244,0.3758219809
412,9240051,-755.5157106,283.9149686,0.375789629,0.3757767755,0.3757340244,0.3758219809
413,9238807,-757.3716557,284.5676653,0.3757305455,0.3757767755,0.3757340244,0.3758219809
414,9236448,-756.6134647,284.3056534,0.3757607638,0.3757767755,0.3757340244,0.3758219809
415,9237051,-755.3020521,283.8026303,0.3757471988,0.3757767755,0.3757340244,0.3758219809
416,9237586,-756.4406651,284.2172644,0.3757297532,0.3757767755,0.3757340244,0.3758219809
417,9239727,-754.7631029,283.5605358,0.3756947507,0.3757767755,0.3757340244,0.3758219809
418,9238192,-755.0685003,283.8067871,0.3758689271,0.3757767755,0.3757340244,0.3758219809
419,9238050,-755.0573095,283.735112,0.3757795711,0.3757767755,0.3757340244,0.3758219809
420,9236002,-753.9972245,283.282485,0.3757075966,0.3757767755,0.3757340244,0.3758219809
421,9236989,-757.8182925,284.7133714,0.375701371,0.3757767755,0.3757340244,0.3758219809
422,9242482,-757.6851102,284.6599731,0.3756969343,0.3757767755,0.3757340244,0.3758219809
423,9237453,-754.2573339,283.4525005,0.3758034397,0.3757767755,0.3757340244,0.3758219809
424,9242349,-758.1545928,284.876848,0.3757503426,0.3757767755,0.3757340244,0.3758219809
425,9241591,-755.6361541,283.9414347,0.3757647555,0.3757767755,0.3757340244,0.3758219809
426,9240555,-757.0992994,284.4788781,0.3757484366,0.3757767755,0.3757340244,0.3758219809
427,9237523,-755.0035437,283.7766632,0.3758613659,0.3757767755,0.3757340244,0.3758219809
428,9239761,-756.0625751,284.0899575,0.3757492658,0.3757767755,0.3757340244,0.3758219809
429,9240783,-756.6392694,284.331334,0.375781889,0.3757767755,0.3757340244,0.3758219809
430,9236486,-753.0051596,283.0147252,0.3758469933,0.3757767755,0.3757340244,0.3758219809
431,9239139,-755.2665109,283.7821467,0.3757377596,0.3757767755,0.3757340244,0.3758219809
432,9238821,-757.51073,284.5653181,0.3756584651,0.3757767755,0.3757340244,0.3758219809
433,9238320,-753.7350446,283.3609458,0.375942379,0.3757767755,0.3757340244,0.3758219809
434,9239523,-757.2886478,284.4632599,0.3756338627,0.3757767755,0.3757340244,0.3758219809
435,9240942,-756.2227821,284.1598494,0.3757620852,0.3757767755,0.3757340244,0.3758219809
436,9239151,-754.8184954,283.6796408,0.3758249732,0.3757767755,0.3757340244,0.3758219809
437,9238562,-757.1569603,284.4894259,0.3757337525,0.3757767755,0.3757340244,0.3758219809
438,9236303,-753.2484091,283.0858094,0.3758199898,0.3757767755,0.3757340244,0.3758219809
439,9239462,-752.8945976,283.0015909,0.375884741,0.3757767755,0.3757340244,0.3758219809
440,9236127,-753.3618054,283.1594895,0.3758612229,0.3757767755,0.3757340244,0.3758219809
441,9237838,-755.6961383,283.9058085,0.3756877852,0.3757767755,0.3757340244,0.3758219809
442,9239796,-756.5491465,284.3474214,0.3758479177,0.3757767755,0.3757340244,0.3758219809
443,9239226,-755.2691823,283.730903,0.3756685823,0.3757767755,0.3757340244,0.3758219809
444,9237491,-756.4268763,284.1912001,0.3757021452,0.3757767755,0.3757340244,0.3758219809
445,9240282,-755.5707828,283.9818147,0.3758507094,0.3757767755,0.3757340244,0.3758219809
446,9240936,-753.7400576,283.2999327,0.3758589315,0.3757767755,0.3757340244,0.3758219809
447,9238006,-755.0838905,283.7481707,0.3757836371,0.3757767755,0.3757340244,0.3758219809
448,9239548,-756.0691889,284.0467546,0.3756888374,0.3757767755,0.3757340244,0.3758219809
449,9236572,-754.488783,283.4452148,0.3756785007,0.3757767755,0.3757340244,0.3758219809
450,9236485,-753.8635507,283.2799633,0.3757708713,0.3757767755,0.3757340244,0.3758219809
451,9237393,-752.8414287,282.9352941,0.3758232256,0.3757767755,0.3757340244,0.3758219809
452,9236997,-754.591973,283.5926151,0.3758224647,0.3757767755,0.3757340244,0.3758219809
453,9241198,-754.900585,283.6313686,0.37572016,0.3757767755,0.3757340244,0.3758219809
454,9237084,-758.2686966,284.8649486,0.375678107,0.3757767755,0.3757340244,0.3758219809
455,9239701,-755.0601002,283.7358754,0.3757791934,0.3757767755,0.3757340244,0.3758219809
456,9243041,-757.301044,284.5460915,0.3757370912,0.3757767755,0.3757340244,0.3758219809
457,9238596,-756.9799211,284.4513355,0.3757713086,0.3757767755,0.3757340244,0.3758219809
458,9238823,-755.9469845,284.1124113,0.3758364239,0.3757767755,0.3757340244,0.3758219809
459,9238336,-755.0588783,283.7223712,0.3757619166,0.3757767755,0.3757340244,0.3758219809
460,9240214,-755.4240878,283.8532618,0.3757535222,0.3757767755,0.3757340244,0.3758219809
461,9238153,-754.6420032,283.5891853,0.375793004,0.3757767755,0.3757340244,0.3758219809
462,9239698,-759.5319407,285.3092602,0.3756382648,0.3757767755,0.3757340244,0.3758219809
463,9239448,-755.1092912,283.7411729,0.375761729,0.3757767755,0.3757340244,0.3758219809
464,9242342,-754.9689133,283.6996504,0.3757765988,0.3757767755,0.3757340244,0.3758219809
465,9237095,-755.1890299,283.7844704,0.3757793865,0.3757767755,0.3757340244,0.3758219809
466,9239472,-755.9177149,284.028241,0.375739628,0.3757767755,0.3757340244,0.3758219809
467,9239759,-755.8933019,284.1012192,0.3758483088,0.3757767755,0.3757340244,0.3758219809
468,9235196,-754.8283572,283.678969,0.3758191731,0.3757767755,0.3757340244,0.3758219809
469,9238272,-756.5895932,284.324065,0.3757969546,0.3757767755,0.3757340244,0.3758219809
470,9236264,-755.7991952,283.9961926,0.3757561458,0.3757767755,0.3757340244,0.3758219809
471,9238440,-756.4313258,284.2126509,0.3757282932,0.3757767755,0.3757340244,0.3758219809
472,9239969,-752.2727762,282.7616899,0.3758765422,0.3757767755,0.3757340244,0.3758219809
473,9240285,-754.7874308,283.7041446,0.3758729054,0.3757767755,0.3757340244,0.3758219809
474,9239305,-754.1268267,283.3748182,0.3757654657,0.3757767755,0.3757340244,0.3758219809
475,9239661,-754.2910975,283.5513278,0.375917638,0.3757767755,0.3757340244,0.3758219809
476,9236911,-754.6768193,283.6018995,0.3757925144,0.3757767755,0.3757340244,0.3758219809
477,9237784,-753.4352896,283.1164242,0.3757674058,0.3757767755,0.3757340244,0.3758219809
478,9239902,-755.6856759,283.9313522,0.3757267886,0.3757767755,0.3757340244,0.3758219809
479,9237685,-752.5322566,282.8639334,0.3758828023,0.3757767755,0.3757340244,0.3758219809
480,9237065,-754.3896546,283.4469423,0.3757301555,0.3757767755,0.3757340244,0.3758219809
481,9240174,-752.8692513,283.0123915,0.3759117416,0.3757767755,0.3757340244,0.3758219809
482,9240393,-755.9245686,284.0088033,0.3757105075,0.3757767755,0.3757340244,0.3758219809
483,9240334,-754.3953417,283.4672476,0.3757542391,0.3757767755,0.3757340244,0.3758219809
484,9241465,-754.6268972,283.5724101,0.3757782967,0.3757767755,0.3757340244,0.3758219809
485,9239103,-755.1737101,283.7652761,0.3757615927,0.3757767755,0.3757340244,0.3758219809
486,9238353,-758.7585953,285.0549254,0.375685926,0.3757767755,0.3757340244,0.3758219809
487,9237125,-758.7959173,285.1316731,0.3757685916,0.3757767755,0.3757340244,0.3758219809
488,9240114,-757.549638,284.6292603,0.3757235778,0.3757767755,0.3757340244,0.3758219809
489,9238890,-756.0696151,284.1268029,0.3757944999,0.3757767755,0.3757340244,0.3758219809
490,9241022,-755.8148966,284.0565719,0.3758282262,0.3757767755,0.3757340244,0.3758219809
491,9236018,-756.3467733,284.1734174,0.3757184237,0.3757767755,0.3757340244,0.3758219809
492,9239296,-757.1928805,284.5652473,0.375816063,0.3757767755,0.3757340244,0.3758219809
493,9242897,-756.7543683,284.2849652,0.375663461,0.3757767755,0.3757340244,0.3758219809
494,9241950,-754.9049798,283.7249937,0.3758419951,0.3757767755,0.3757340244,0.3758219809
495,9240639,-753.855229,283.3924648,0.3759242543,0.3757767755,0.3757340244,0.3758219809
496,9240658,-755.3503342,283.8656934,0.3758066695,0.3757767755,0.3757340244,0.3758219809
497,9240662,-756.6380464,284.2780806,0.3757121149,0.3757767755,0.3757340244,0.3758219809
498,9238216,-756.8727878,284.3999188,0.3757565649,0.3757767755,0.3757340244,0.3758219809
499,9237382,-754.5009911,283.5140359,0.3757636361,0.3757767755,0.3757340244,0.3758219809
500,9237499,-754.0485508,283.4633115,0.3759218305,0.3757767755,0.3757340244,0.3758219809
501,9237807,-759.429565,285.2898396,0.3756633303,0.3757767755,0.3757340244,0.3758219809
502,9241581,-754.3560528,283.4769871,0.3757867204,0.3757767755,0.3757340244,0.3758219809
503,9239407,-755.597229,283.9114387,0.3757444149,0.3757767755,0.3757340244,0.3758219809
504,9238519,-754.4570774,283.4769895,0.3757364043,0.3757767755,0.3757340244,0.3758219809
505,9236166,-753.9321244,283.3724667,0.3758593878,0.3757767755,0.3757340244,0.3758219809
506,9239678,-757.3463372,284.5001278,0.3756539299,0.3757767755,0.3757340244,0.3758219809
507,9238728,-756.1634964,284.2337334,0.3758892551,0.3757767755,0.3757340244,0.3758219809
508,9240396,-756.2593858,284.2250343,0.3758300917,0.3757767755,0.3757340244,0.3758219809
509,9236521,-755.4352656,283.8617477,0.3757591955,0.3757767755,0.3757340244,0.3758219809
510,9238952,-759.4572119,285.3473612,0.3757253953,0.3757767755,0.3757340244,0.3758219809
511,9241108,-756.0287774,284.1007662,0.3757803601,0.3757767755,0.3757340244,0.3758219809
512,9240832,-754.6132862,283.5255464,0.3757229717,0.3757767755,0.3757340244,0.3758219809
513,9239483,-758.4211924,284.9417432,0.3757038253,0.3757767755,0.3757340244,0.3758219809
514,9235070,-755.926908,284.0504258,0.3757644064,0.3757767755,0.3757340244,0.3758219809
515,9236930,-754.8874505,283.6859031,0.3757989392,0.3757767755,0.3757340244,0.3758219809
516,9238348,-755.5694125,283.9068251,0.3757521419,0.3757767755,0.3757340244,0.3758219809
517,9241955,-756.4026691,284.2569684,0.3758011176,0.3757767755,0.3757340244,0.3758219809
518,9240028,-754.4440685,283.4935187,0.3757647923,0.3757767755,0.3757340244,0.3758219809
519,9241590,-753.7329242,283.2163492,0.3757515959,0.3757767755,0.3757340244,0.3758219809
520,9239430,-758.7532724,285.1706432,0.3758410719,0.3757767755,0.3757340244,0.3758219809
521,9238066,-757.9486889,284.8655647,0.3758375322,0.3757767755,0.3757340244,0.3758219809
522,9238069,-755.3095176,283.8831683,0.3758501141,0.3757767755,0.3757340244,0.3758219809
523,9236652,-756.0184544,284.1053056,0.3757914955,0.3757767755,0.3757340244,0.3758219809
524,9239886,-756.2097765,284.0678863,0.3756469371,0.3757767755,0.3757340244,0.3758219809
525,9237636,-756.2093931,284.1838294,0.375800449,0.3757767755,0.3757340244,0.3758219809
526,9238342,-754.8264058,283.6449361,0.3757750576,0.3757767755,0.3757340244,0.3758219809
527,9238603,-752.6097157,282.8534797,0.3758302263,0.3757767755,0.3757340244,0.3758219809
528,9240370,-757.1056173,284.4751161,0.3757403321,0.3757767755,0.3757340244,0.3758219809
529,9238366,-753.7068432,283.1734226,0.3757076444,0.3757767755,0.3757340244,0.3758219809
530,9238318,-754.7390035,283.6540566,0.3758306584,0.3757767755,0.3757340244,0.3758219809
531,9235728,-757.8572221,284.8484604,0.3758603232,0.3757767755,0.3757340244,0.3758219809
532,9237897,-754.4308483,283.5798478,0.3758858064,0.3757767755,0.3757340244,0.3758219809
533,9237204,-754.6053635,283.5915331,0.3758143618,0.3757767755,0.3757340244,0.3758219809
534,9238547,-756.7405557,284.3230257,0.3757206134,0.3757767755,0.3757340244,0.3758219809
535,9237698,-756.5537796,284.2689772,0.3757419298,0.3757767755,0.3757340244,0.3758219809
536,9240387,-757.9978852,284.7807534,0.3757012506,0.3757767755,0.3757340244,0.3758219809
537,9237429,-757.2605872,284.5153577,0.3757165796,0.3757767755,0.3757340244,0.3758219809
538,9237705,-756.1768346,284.1905402,0.3758255043,0.3757767755,0.3757340244,0.3758219809
539,9238375,-753.8032121,283.3225986,0.3758575103,0.3757767755,0.3757340244,0.3758219809
540,9237139,-757.6338582,284.6263674,0.3756779931,0.3757767755,0.3757340244,0.3758219809
541,9241887,-756.4480516,284.2107955,0.3757175326,0.3757767755,0.3757340244,0.3758219809
542,9240383,-756.954678,284.4850785,0.3758284172,0.3757767755,0.3757340244,0.3758219809
543,9238664,-759.1606698,285.1800592,0.375651783,0.3757767755,0.3757340244,0.3758219809
544,9238809,-755.7717447,283.9434267,0.3756999765,0.3757767755,0.3757340244,0.3758219809
545,9241199,-755.9074606,284.0210092,0.3757351581,0.3757767755,0.3757340244,0.3758219809
546,9240477,-754.8839604,283.7257367,0.3758534445,0.3757767755,0.3757340244,0.3758219809
547,9240543,-756.3040744,284.2233671,0.3758056802,0.3757767755,0.3757340244,0.3758219809
548,9235764,-756.6756304,284.3437518,0.3757802424,0.3757767755,0.3757340244,0.3758219809
549,9235105,-758.3527502,284.8995045,0.375682035,0.3757767755,0.3757340244,0.3758219809
550,9238234,-754.7468334,283.5877819,0.3757389489,0.3757767755,0.3757340244,0.3758219809
551,9240255,-758.2804846,285.005138,0.3758571449,0.3757767755,0.3757340244,0.3758219809
552,9237226,-758.4430375,284.999685,0.3757693998,0.3757767755,0.3757340244,0.3758219809
553,9238289,-753.5914153,283.2266726,0.3758358532,0.3757767755,0.3757340244,0.3758219809
554,9239247,-753.7646309,283.2843555,0.3758260124,0.3757767755,0.3757340244,0.3758219809
555,9239186,-756.2341661,284.110022,0.3756905397,0.3757767755,0.3757340244,0.3758219809
556,9238230,-754.8618818,283.7313505,0.3758718746,0.3757767755,0.3757340244,0.3758219809
557,9240431,-755.4673162,283.8527368,0.3757313265,0.3757767755,0.3757340244,0.3758219809
558,9240811,-756.8452743,284.3669358,0.3757266451,0.3757767755,0.3757340244,0.3758219809
559,9239625,-756.5273257,284.305256,0.375803023,0.3757767755,0.3757340244,0.3758219809
560,9237216,-757.6464713,284.6349888,0.3756831182,0.3757767755,0.3757340244,0.3758219809
561,9234561,-753.0989529,283.0113922,0.3757957585,0.3757767755,0.3757340244,0.3758219809
562,9238319,-755.2223556,283.6987987,0.3756493655,0.3757767755,0.3757340244,0.3758219809
563,9237626,-754.582917,283.6289735,0.3758751585,0.3757767755,0.3757340244,0.3758219809
564,9238312,-756.4503716,284.2267991,0.3757375366,0.3757767755,0.3757340244,0.3758219809
565,9239151,-756.9135327,284.3865914,0.3757187302,0.3757767755,0.3757340244,0.3758219809
566,9242114,-757.4419914,284.6979081,0.3758676062,0.3757767755,0.3757340244,0.3758219809
567,9239811,-755.0144548,283.6983775,0.3757522464,0.3757767755,0.3757340244,0.3758219809
568,9238617,-757.6713164,284.7221392,0.375785823,0.3757767755,0.3757340244,0.3758219809
569,9241474,-758.7408477,284.9948103,0.3756154834,0.3757767755,0.3757340244,0.3758219809
570,9238564,-757.3283045,284.5655607,0.3757492741,0.3757767755,0.3757340244,0.3758219809
571,9238651,-755.2689525,283.7245681,0.375660309,0.3757767755,0.3757340244,0.3758219809
572,9237882,-754.8375962,283.6367145,0.3757585948,0.3757767755,0.3757340244,0.3758219809
573,9241800,-758.4035751,284.9819631,0.3757655851,0.3757767755,0.3757340244,0.3758219809
574,9238203,-756.2823667,284.2806287,0.3758921815,0.3757767755,0.3757340244,0.3758219809
575,9237828,-755.8218634,283.9916792,0.3757389048,0.3757767755,0.3757340244,0.3758219809
576,9240255,-754.0808532,283.3597759,0.3757684268,0.3757767755,0.3757340244,0.3758219809
577,9238110,-754.9849811,283.7281623,0.3758063662,0.3757767755,0.3757340244,0.3758219809
578,9235448,-756.2000341,284.1847787,0.3758063553,0.3757767755,0.3757340244,0.3758219809
579,9238560,-754.8776914,283.7067862,0.3758314617,0.3757767755,0.3757340244,0.3758219809
580,9237146,-756.2998534,284.2123532,0.3757932147,0.3757767755,0.3757340244,0.3758219809
581,9236723,-757.8656898,284.7839535,0.3757710071,0.3757767755,0.3757340244,0.3758219809
582,9240877,-758.9149916,285.1478767,0.3757309842,0.3757767755,0.3757340244,0.3758219809
583,9237348,-757.1870839,284.476319,0.3757014944,0.3757767755,0.3757340244,0.3758219809
584,9239270,-756.28412,284.1703963,0.3757455548,0.3757767755,0.3757340244,0.3758219809
585,9241379,-756.9752383,284.4216884,0.3757344679,0.3757767755,0.3757340244,0.3758219809
586,9237794,-757.5334517,284.6458366,0.3757534877,0.3757767755,0.3757340244,0.3758219809
