case_alias,case_name,surface,ntwr,reference_towers,n_repeats,n_candidate_towers,n_finite_levels,z_over_h_min,z_over_h_max,integrated_deviation,integrated_std_profile,integrated_normalized_std,realization_metric_mean,realization_metric_std,realization_metric_cv
g1200,Gap_12_9mps,forested,1,1000,100,50155,100,0.05008012820512821,9.965945512820513,1.063890704541004,0.9097648548029743,8.369417744328771,1.063890704541004,0.42661748551586376,0.4009974743598498
g1200,Gap_12_9mps,forested,10,1000,100,50155,100,0.05008012820512821,9.965945512820513,0.44190802887389713,0.3832703395746007,7.4691519521315595,0.4419080288738971,0.1915613712079318,0.43348696717749785
g1200,Gap_12_9mps,forested,50,1000,100,50155,100,0.05008012820512821,9.965945512820513,0.20396169303680306,0.1708400025632785,7.911591177828164,0.20396169303680306,0.07573333162502868,0.3713115462880732
g1200,Gap_12_9mps,forested,100,1000,100,50155,100,0.05008012820512821,9.965945512820513,0.1475065765709986,0.11391363230678889,7.564001167779118,0.14750657657099864,0.0535448066454118,0.36299945324566146
g1200,Gap_12_9mps,forested,500,1000,100,50155,100,0.05008012820512821,9.965945512820513,0.07732134967940983,0.057286956745019144,7.391471375455555,0.07732134967940982,0.023887320173158397,0.30893563384757416
g1200,Gap_12_9mps,open_gap,1,1000,100,15381,100,0.05008012820512821,9.965945512820513,1.0932203516775512,0.7990673097703971,7.229909302427769,1.093220351677551,0.4040387099844303,0.36958579243830514
g1200,Gap_12_9mps,open_gap,10,1000,100,15381,100,0.05008012820512821,9.965945512820513,0.35129971865542575,0.2616454447212939,7.445607756377233,0.3512997186554257,0.12795564035877321,0.36423496394621147
g1200,Gap_12_9mps,open_gap,50,1000,100,15381,100,0.05008012820512821,9.965945512820513,0.16170035057424506,0.11997922330714351,7.286657664203453,0.1617003505742451,0.05868241631405307,0.36290840499513266
g1200,Gap_12_9mps,open_gap,100,1000,100,15381,100,0.05008012820512821,9.965945512820513,0.1337630988501465,0.10272977232804849,7.690816181045615,0.13376309885014648,0.05355033498113513,0.4003371291594183
g1200,Gap_12_9mps,open_gap,500,1000,100,15381,100,0.05008012820512821,9.965945512820513,0.07520830998827784,0.047617059030349525,6.646232819996871,0.07520830998827784,0.025240850921753658,0.33561252640416683
