case_alias,case_name,surface,ntwr,n_repeats,n_unique_towers,n_candidate_towers,relative_rms_spread,absolute_rms_spread,mean_integrated_std,n_finite_levels,z_over_h_min,z_over_h_max
g1200,Gap_12_9mps,forested,10,100,36866,50155,0.06493053740053266,0.04625776920625099,0.0428944548947383,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,forested,50,100,36866,50155,0.027272314652235858,0.019516457895858288,0.01825666323438725,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,forested,100,100,36866,50155,0.021428660931757736,0.015286423944494795,0.014260909749017734,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,forested,500,100,36866,50155,0.008522621307314474,0.006084669354352557,0.005720743221786883,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,empty,10,100,15180,15381,0.07421726762972401,0.04464050392909339,0.040687775151956124,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,empty,50,100,15180,15381,0.03530314066998356,0.02129189465399788,0.019974851597715223,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,empty,100,100,15180,15381,0.023689332734599715,0.014260911333388047,0.013121576219817993,100,0.05008012820512821,9.965945512820513
g1200,Gap_12_9mps,empty,500,100,15180,15381,0.009967622589146007,0.006000798341957466,0.005480552384578772,100,0.05008012820512821,9.965945512820513
